1st flr sf,2nd flr sf,3ssn porch,alley,bedroom abvgr,bldg type,bsmt cond,bsmt exposure,bsmt full bath,bsmt half bath,bsmt qual,bsmt unf sf,bsmtfin sf 1,bsmtfin sf 2,bsmtfin type 1,bsmtfin type 2,central air,condition 1,condition 2,electrical,enclosed porch,exter cond,exter qual,exterior 1st,exterior 2nd,fence,fireplace qu,fireplaces,foundation,full bath,functional,garage area,garage cars,garage cond,garage finish,garage qual,garage type,garage yr blt,gr liv area,half bath,heating,heating qc,house style,id,kitchen abvgr,kitchen qual,land contour,land slope,lot area,lot config,lot frontage,lot shape,low qual fin sf,ms subclass,ms zoning,mas vnr area,mas vnr type,misc feature,misc val,mo sold,neighborhood,open porch sf,overall cond,overall qual,pid,paved drive,pool area,pool qc,roof matl,roof style,sale type,saleprice,screen porch,street,totrms abvgrd,total bsmt sf,utilities,wood deck sf,year built,year remod/add,yr sold
725,754,0,NA,3,1Fam,3,1,0.0,0.0,3,192.0,533.0,0.0,6,1,Y,RRAe,Norm,5,0,TA,Gd,HdBoard,Plywood,0,0,0,CBlock,2,Typ,475.0,2.0,3,2,3,5,1976.0,1479,1,GasA,Ex,2Story,109,1,Gd,Lvl,Gtl,13517,CulDSac,55.22857142857143,IR1,0,60,RL,289.0,3,0,0,3,Sawyer,44,8,6,533352170,Y,0,0,CompShg,Gable,WD ,130500,0,Pave,6,725.0,AllPub,0,1976,2005,2010
913,1209,0,NA,4,1Fam,3,1,1.0,0.0,4,276.0,637.0,0.0,6,1,Y,Norm,Norm,5,0,TA,Gd,VinylSd,VinylSd,0,3,1,PConc,2,Typ,559.0,2.0,3,2,3,5,1997.0,2122,1,GasA,Ex,2Story,544,1,Gd,Lvl,Gtl,11492,CulDSac,43.0,IR1,0,60,RL,132.0,3,0,0,4,SawyerW,74,5,7,531379050,Y,0,0,CompShg,Gable,WD ,220000,0,Pave,8,913.0,AllPub,0,1996,1997,2009
1057,0,0,NA,3,1Fam,3,1,1.0,0.0,3,326.0,731.0,0.0,6,1,Y,Norm,Norm,5,0,Gd,TA,VinylSd,VinylSd,0,0,0,CBlock,1,Typ,246.0,1.0,3,1,3,1,1953.0,1057,0,GasA,TA,1Story,153,1,Gd,Lvl,Gtl,7922,Inside,68.0,Reg,0,20,RL,0.0,0,0,0,1,NAmes,52,7,5,535304180,Y,0,0,CompShg,Gable,WD ,109000,0,Pave,5,1057.0,AllPub,0,1953,2007,2010
744,700,0,NA,3,1Fam,3,1,0.0,0.0,4,384.0,0.0,0.0,1,1,Y,Norm,Norm,5,0,TA,TA,VinylSd,VinylSd,0,0,0,PConc,2,Typ,400.0,2.0,3,3,3,3,2007.0,1444,1,GasA,Gd,2Story,318,1,TA,Lvl,Gtl,9802,Inside,73.0,Reg,0,60,RL,0.0,0,0,0,4,Timber,0,5,5,916386060,Y,0,0,CompShg,Gable,WD ,174000,0,Pave,7,384.0,AllPub,100,2006,2007,2010
831,614,0,NA,3,1Fam,4,1,0.0,0.0,2,676.0,0.0,0.0,1,1,Y,Norm,Norm,5,0,TA,TA,Wd Sdng,Plywood,0,0,0,PConc,2,Typ,484.0,2.0,3,1,3,1,1957.0,1445,0,GasA,TA,1.5Fin,255,1,TA,Lvl,Gtl,14235,Inside,82.0,IR1,0,50,RL,0.0,0,0,0,3,SawyerW,59,8,6,906425045,N,0,0,CompShg,Gable,WD ,138500,0,Pave,6,676.0,AllPub,0,1900,1993,2010
1888,0,0,NA,2,1Fam,3,1,0.0,0.0,3,557.0,247.0,713.0,5,3,Y,PosA,Norm,5,0,TA,Gd,BrkFace,Plywood,0,4,1,CBlock,2,Mod,578.0,2.0,3,3,3,5,1966.0,1888,1,GasA,Ex,1Story,138,1,Gd,Lvl,Gtl,16492,Corner,137.0,IR1,0,20,RL,0.0,0,0,0,6,NAmes,0,6,6,535126040,Y,0,0,CompShg,Gable,WD ,190000,0,Pave,6,1517.0,AllPub,0,1966,2002,2010
1072,0,0,NA,2,TwnhsE,3,4,1.0,0.0,4,0.0,547.0,0.0,6,1,Y,Norm,Norm,5,0,TA,TA,VinylSd,VinylSd,0,0,0,PConc,2,Typ,525.0,2.0,3,3,3,4,2005.0,1072,0,GasA,Gd,SFoyer,2827,1,TA,Lvl,Gtl,3675,Inside,35.0,Reg,0,180,RM,82.0,3,0,0,6,Edwards,44,5,6,908186070,Y,0,0,CompShg,Gable,New,140000,0,Pave,5,547.0,AllPub,0,2005,2006,2006
1188,0,0,NA,3,1Fam,3,1,1.0,0.0,3,188.0,1000.0,0.0,3,1,Y,Norm,Norm,5,0,TA,TA,Plywood,Plywood,3,0,0,CBlock,1,Typ,531.0,2.0,3,2,3,5,1959.0,1188,0,GasA,Fa,1Story,145,1,TA,Lvl,Gtl,12160,Inside,66.95277989337396,IR1,0,20,RL,180.0,3,0,0,5,NAmes,0,5,5,535154050,Y,0,0,CompShg,Hip,COD,142000,0,Pave,6,1188.0,AllPub,0,1959,1959,2010
924,0,0,NA,2,1Fam,3,1,0.0,0.0,3,632.0,292.0,0.0,3,1,Y,Artery,Norm,5,0,TA,TA,Wd Sdng,Wd Sdng,3,0,0,CBlock,1,Typ,420.0,1.0,3,1,3,1,1952.0,924,0,GasA,TA,1Story,1942,1,TA,Lvl,Gtl,15783,Inside,66.95277989337396,Reg,0,20,RL,0.0,0,2,400,6,OldTown,324,5,5,535353130,Y,0,0,CompShg,Gable,WD ,112500,0,Pave,6,924.0,AllPub,0,1952,1952,2007
1040,1040,0,NA,5,1Fam,3,3,0.0,1.0,4,390.0,650.0,0.0,3,1,Y,Norm,Norm,5,0,TA,TA,Plywood,Plywood,0,3,2,PConc,1,Typ,504.0,2.0,3,1,3,5,1969.0,2080,2,GasA,TA,2Story,1956,1,Fa,HLS,Sev,11606,Inside,70.0,IR1,0,60,RL,192.0,3,0,0,9,NAmes,0,5,5,535426130,Y,0,0,CompShg,Gable,WD ,135000,0,Pave,9,1040.0,AllPub,335,1969,1969,2007
