1st flr sf,2nd flr sf,3ssn porch,bedroom abvgr,bsmt cond,bsmt exposure,bsmt full bath,bsmt half bath,bsmt qual,bsmt unf sf,bsmtfin sf 1,bsmtfin sf 2,bsmtfin type 1,bsmtfin type 2,central air,condition 1,condition 2,electrical,enclosed porch,exter cond,exter qual,exterior 1st,exterior 2nd,fence,fireplace qu,fireplaces,full bath,functional,garage area,garage cars,garage cond,garage finish,garage qual,garage yr blt,gr liv area,half bath,heating qc,id,kitchen abvgr,kitchen qual,land slope,lot area,lot frontage,lot shape,low qual fin sf,ms subclass,mas vnr area,misc val,mo sold,open porch sf,overall cond,overall qual,pid,paved drive,pool area,pool qc,saleprice,screen porch,street,totrms abvgrd,total bsmt sf,utilities,wood deck sf,year built,year remod/add,yr sold,conditions,exteriors,alley_0,alley_1,alley_2,bldg type_1fam,bldg type_2fmcon,bldg type_duplex,bldg type_twnhs,bldg type_twnhse,foundation_brktil,foundation_cblock,foundation_pconc,foundation_slab,foundation_stone,foundation_wood,garage type_2types,garage type_attchd,garage type_basment,garage type_builtin,garage type_carport,garage type_detchd,garage type_na,heating_gasa,heating_gasw,heating_grav,heating_othw,heating_wall,house style_1.5fin,house style_1.5unf,house style_1story,house style_2.5fin,house style_2.5unf,house style_2story,house style_sfoyer,house style_slvl,land contour_bnk,land contour_hls,land contour_low,land contour_lvl,lot config_corner,lot config_culdsac,lot config_fr2,lot config_fr3,lot config_inside,ms zoning_a (agr),ms zoning_c (all),ms zoning_fv,ms zoning_i (all),ms zoning_rh,ms zoning_rl,ms zoning_rm,mas vnr type_brkcmn,mas vnr type_brkface,mas vnr type_none,mas vnr type_stone,misc feature_elev,misc feature_gar2,misc feature_na,misc feature_othr,misc feature_shed,misc feature_tenc,neighborhood_blmngtn,neighborhood_blueste,neighborhood_brdale,neighborhood_brkside,neighborhood_clearcr,neighborhood_collgcr,neighborhood_crawfor,neighborhood_edwards,neighborhood_gilbert,neighborhood_greens,neighborhood_grnhill,neighborhood_idotrr,neighborhood_landmrk,neighborhood_meadowv,neighborhood_mitchel,neighborhood_names,neighborhood_npkvill,neighborhood_nwames,neighborhood_noridge,neighborhood_nridght,neighborhood_oldtown,neighborhood_swisu,neighborhood_sawyer,neighborhood_sawyerw,neighborhood_somerst,neighborhood_stonebr,neighborhood_timber,neighborhood_veenker,roof matl_clytile,roof matl_compshg,roof matl_membran,roof matl_tar&grv,roof matl_wdshake,roof matl_wdshngl,roof style_flat,roof style_gable,roof style_gambrel,roof style_hip,roof style_mansard,roof style_shed,sale type_cod,sale type_cwd,sale type_con,sale type_conld,sale type_conli,sale type_conlw,sale type_new,sale type_oth,sale type_wd 
725,754,0,3,3,1,0.0,0.0,3,192.0,533.0,0.0,6,1,1,0,1,5,0,3,4,10,12,0,0,0,2,8,475.0,2.0,3,2,3,1976.0,1479,1,5,109,1,4,3,13517,55.22857142857143,3,0,60,289.0,0,3,44,8,6,533352170,2,0,0,130500,0,1,6,725.0,4,0,1976,2005,2010,1,22,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
913,1209,0,4,3,1,1.0,0.0,4,276.0,637.0,0.0,6,1,1,1,1,5,0,3,4,13,14,0,3,1,2,8,559.0,2.0,3,2,3,1997.0,2122,1,5,544,1,4,3,11492,43.0,3,0,60,132.0,0,4,74,5,7,531379050,2,0,0,220000,0,1,8,913.0,4,0,1996,1997,2009,2,27,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1057,0,0,3,3,1,1.0,0.0,3,326.0,731.0,0.0,6,1,1,1,1,5,0,4,3,13,14,0,0,0,1,8,246.0,1.0,3,1,3,1953.0,1057,0,3,153,1,4,3,7922,68.0,4,0,20,0.0,0,1,52,7,5,535304180,2,0,0,109000,0,1,5,1057.0,4,0,1953,2007,2010,2,27,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
744,700,0,3,3,1,0.0,0.0,4,384.0,0.0,0.0,1,1,1,1,1,5,0,3,3,13,14,0,0,0,2,8,400.0,2.0,3,3,3,2007.0,1444,1,4,318,1,3,3,9802,73.0,4,0,60,0.0,0,4,0,5,5,916386060,2,0,0,174000,0,1,7,384.0,4,100,2006,2007,2010,2,27,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
831,614,0,3,4,1,0.0,0.0,2,676.0,0.0,0.0,1,1,1,1,1,5,0,3,3,6,12,0,0,0,2,8,484.0,2.0,3,1,3,1957.0,1445,0,3,255,1,3,3,14235,82.0,3,0,50,0.0,0,3,59,8,6,906425045,0,0,0,138500,0,1,6,676.0,4,0,1900,1993,2010,2,18,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1888,0,0,2,3,1,0.0,0.0,3,557.0,247.0,713.0,5,3,1,2,1,5,0,3,4,12,12,0,4,1,2,5,578.0,2.0,3,3,3,1966.0,1888,1,5,138,1,4,3,16492,137.0,3,0,20,0.0,0,6,0,6,6,535126040,2,0,0,190000,0,1,6,1517.0,4,0,1966,2002,2010,3,24,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1072,0,0,2,3,3,1.0,0.0,4,0.0,547.0,0.0,6,1,1,1,1,5,0,3,3,13,14,0,0,0,2,8,525.0,2.0,3,3,3,2005.0,1072,0,4,2827,1,3,3,3675,35.0,4,0,180,82.0,0,6,44,5,6,908186070,2,0,0,140000,0,1,5,547.0,4,0,2005,2006,2006,2,27,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1188,0,0,3,3,1,1.0,0.0,3,188.0,1000.0,0.0,3,1,1,1,1,5,0,3,3,11,12,3,0,0,1,8,531.0,2.0,3,2,3,1959.0,1188,0,2,145,1,3,3,12160,66.95277989337396,3,0,20,180.0,0,5,0,5,5,535154050,2,0,0,142000,0,1,6,1188.0,4,0,1959,1959,2010,2,23,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
924,0,0,2,3,1,0.0,0.0,3,632.0,292.0,0.0,3,1,1,0,1,5,0,3,3,6,6,3,0,0,1,8,420.0,1.0,3,1,3,1952.0,924,0,3,1942,1,3,3,15783,66.95277989337396,4,0,20,0.0,400,6,324,5,5,535353130,2,0,0,112500,0,1,6,924.0,4,0,1952,1952,2007,1,12,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1040,1040,0,5,3,3,0.0,1.0,4,390.0,650.0,0.0,3,1,1,1,1,5,0,3,3,11,12,0,3,2,1,8,504.0,2.0,3,1,3,1969.0,2080,2,3,1956,1,2,2,11606,70.0,3,0,60,192.0,0,9,0,5,5,535426130,2,0,0,135000,0,1,9,1040.0,4,335,1969,1969,2007,2,23,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
